,Negative_Words,Positive_Words,Neutral_Words
0,mad,chance,news
1,war,security,live
2,attack,support,update
3,terror,prevent,must
4,assault,interest,teach
5,catastrophe,active,lesson
6,ashamed,want,official
7,terrorist,earnest,vow
8,fire,united,repeat
9,bloody,well,east
10,stress,urgent,student
11,conflict,increase,invasion
12,anger,intelligence,temple
13,kill,helping,daylight
14,leave,importance,time
15,raging,strong,senior
16,lower,safety,member
17,delay,backed,carried
18,unclear,freeing,given
19,strike,strongly,group
20,crime,authority,similar
21,warn,great,many
22,bomb,promising,future
23,struck,truth,country
24,killing,reaching,place
25,devastating,fresh,land
26,weak,wishing,remove
27,questionable,top,military
28,fighting,advanced,political
29,sorrow,growing,nation
30,grief,giving,say
31,death,relief,ghazi
32,battle,number,said
33,difficult,winner,nearly
34,painful,hope,burst
35,loss,allow,across
36,destruction,friendship,border
37,accused,treat,strip
38,casualty,fitness,air
39,fallen,,sea
40,missing,,people
41,prisoner,,taking
42,interrupted,,least
43,seriously,,hostage
44,injured,,age
45,misery,,cover
46,low,,thousand
47,cancer,,rocket
48,lack,,town
49,damage,,city
50,skepticism,,stay
51,anti,,toi
52,combat,,latest
53,hatred,,read
54,hostility,,ist
55,serious,,enter
56,die,,diplomatic
57,condemned,,new
58,grave,,week
59,violation,,frenzied
60,outrage,,trip
61,suffering,,middle
62,torn,,secretary
63,terrifying,,state
64,dreadful,,region
65,defeat,,somewhat
66,struggle,,message
67,dead,,immediate
68,victim,,aftermath
69,protest,,response
70,broke,,last
71,grievance,,month
72,,,try
73,,,visit
74,,,jordan
75,,,starting
76,,,agenda
77,,,crowded
78,,,complex
79,,,administration
80,,,grapple
81,,,domestic
82,,,international
83,,,bureau
84,,,existence
85,,,illogical
86,,,term
87,,,refer
88,,,west
89,,,bank
90,,,minus
91,,,height
92,,,video
93,,,show
94,,,arsenal
95,,,used
96,,,foreign
97,,,national
98,,,coming
99,,,day
100,,,mediatory
101,,,talk
102,,,passport
103,,,holder
104,,,citizen
105,,,cross
106,,,via
107,,,crossing
108,,,point
109,,,continue
110,,,government
111,,,role
112,,,mediation
113,,,effort
114,,,foreigner
115,,,besieged
116,,,enclave
117,,,amid
118,,,according
119,,,information
120,,,also
121,,,involved
122,,,militant
123,,,split
124,,,congress
125,,,quarrel
126,,,aid
127,,,joe
128,,,quickly
129,,,billion
130,,,dollar
131,,,republican
132,,,chamber
133,,,set
134,,,consider
135,,,bill
136,,,put
137,,,back
138,,,burner
139,,,debate
140,,,request
141,,,beginning
142,,,long
143,,,house
144,,,name
145,,,speaker
146,,,anything
147,,,get
148,,,vice
149,,,president
150,,,kamala
151,,,discus
152,,,rishi
153,,,met
154,,,kingdom
155,,,prime
156,,,minister
157,,,right
158,,,defend
159,,,need
160,,,flow
161,,,humanitarian
162,,,two
163,,,leader
164,,,working
165,,,together
166,,,artificial
167,,,continued
168,,,today
169,,,assistance
170,,,civilian
171,,,posted
172,,,enduring
173,,,partnership
174,,,work
175,,,institute
176,,,collaborate
177,,,added
178,,,camp
179,,,hit
180,,,refugee
181,,,densely
182,,,residential
183,,,area
184,,,could
185,,,amount
186,,,second
187,,,building
188,,,run
189,,,health
190,,,ministry
191,,,dozen
192,,,western
193,,,declared
194,,,since
195,,,stated
196,,,goal
197,,,elimination
198,,,ally
199,,,seem
200,,,know
201,,,come
202,,,would
203,,,govern
204,,,following
205,,,return
206,,,internationally
207,,,made
208,,,sense
209,,,mention
210,,,deeply
211,,,unpopular
212,,,already
213,,,assuming
214,,,power
215,,,comment
216,,,reflected
217,,,analyst
218,,,see
219,,,assumption
220,,,short
221,,,thinking
222,,,took
223,,,roughly
224,,,remark
225,,,interview
226,,,television
227,,,channel
228,,,later
229,,,medium
230,,,research
231,,,rift
232,,,door
233,,,break
234,,,year
235,,,old
236,,,origin
237,,,soldier
238,,,among
239,,,combatant
240,,,community
241,,,mayor
242,,,staff
243,,,southern
244,,,announce
245,,,son
246,,,benny
247,,,post
248,,,benjamin
249,,,vowed
250,,,victory
251,,,full
252,,,high
253,,,lethal
254,,,carry
255,,,aim
256,,,deadly
257,,,operation
258,,,saying
259,,,third
260,,,fourth
261,,,conversation
262,,,shutting
263,,,communication
264,,,happening
265,,,world
266,,,making
267,,,baseless
268,,,claim
269,,,lie
270,,,tunnel
271,,,hospital
272,,,justify
273,,,army
274,,,japan
275,,,eight
276,,,family
277,,,speaking
278,,,regular
279,,,press
280,,,conference
281,,,chief
282,,,cabinet
283,,,one
284,,,living
285,,,remains
286,,,ground
287,,,force
288,,,target
289,,,york
290,,,mostly
291,,,infantry
292,,,first
293,,,inside
294,,,publicly
295,,,confirmed
296,,,additional
297,,,shay
298,,,toll
299,,,far
300,,,face
301,,,home
302,,,page
303,,,per
304,,,shot
305,,,drone
306,,,surface
307,,,missile
308,,,office
309,,,risen
310,,,still
311,,,rubble
312,,,wounded
313,,,call
314,,,pause
315,,,think
316,,,order
317,,,campaign
318,,,protester
319,,,calling
320,,,mean
321,,,give
322,,,troop
323,,,heavy
324,,,gate
325,,,hundred
326,,,three
327,,,siege
328,,,four
329,,,another
330,,,crossed
331,,,territory
332,,,drive
333,,,food
334,,,water
335,,,fuel
336,,,department
337,,,left
338,,,without
339,,,specific
340,,,reportedly
341,,,ongoing
342,,,mediating
343,,,child
344,,,receive
345,,,treatment
346,,,organization
347,,,main
348,,,longer
349,,,functional
350,,,due
351,,,vicinity
352,,,white
353,,,measure
354,,,counter
355,,,develop
356,,,strategy
357,,,staunch
358,,,launch
359,,,may
360,,,reference
361,,,momentum
362,,,wake
363,,,clash
364,,,belief
365,,,cannot
366,,,believe
367,,,pro
368,,,governance
369,,,reporter
370,,,flew
371,,,permanent
372,,,settlement
373,,,outside
374,,,rising
375,,,general
376,,,necessary
377,,,agency
378,,,employee
379,,,start
380,,,commando
381,,,locate
382,,,boat
383,,,red
384,,,evacuee
385,,,exit
386,,,sar
387,,,head
388,,,tank
389,,,unit
390,,,human
391,,,scale
392,,,concern
393,,,disproportionate
394,,,wrote
395,,,formerly
396,,,twitter
397,,,ambassador
398,,,withdrawn
399,,,known
400,,,affair
401,,,expatriate
402,,,deputy
403,,,decided
404,,,summon
405,,,immediately
406,,,directed
407,,,relevant
408,,,inform
409,,,previously
410,,,expression
411,,,position
412,,,travel
413,,,miller
414,,,meet
415,,,objective
416,,,reiterate
417,,,accordance
418,,,law
419,,,take
420,,,precaution
421,,,minimize
422,,,deliver
423,,,told
424,,,surrender
425,,,unconditionally
426,,,committee
427,,,mounting
428,,,monitor
429,,,adherence
430,,,convention
431,,,expressed
432,,,profound
433,,,embassy
434,,,poster
435,,,opening
436,,,expect
437,,,depart
438,,,evacuation
439,,,resident
440,,,warplane
441,,,retaliation
442,,,unprecedented
443,,,brief
444,,,glimmer
445,,,sparked
446,,,temporary
447,,,biggest
448,,,consecutive
449,,,atrocity
450,,,decried
451,,,score
452,,,targeted
453,,,commander
454,,,befall
455,,,even
456,,,phase
457,,,increasingly
458,,,consequence
459,,,martin
460,,,statement
461,,,key
462,,,recall
463,,,tell
464,,,remain
465,,,massacre
466,,,reaction
467,,,rescuer
468,,,site
469,,,overnight
470,,,brushed
471,,,away
472,,,debris
473,,,early
474,,,gradually
475,,,reveal
476,,,motionless
477,,,arm
478,,,bombardment
479,,,scraped
480,,,rest
481,,,body
482,,,slowly
483,,,whose
484,,,khan
485,,,nine
486,,,cause
487,,,wave
488,,,open
489,,,apartment
490,,,row
491,,,ago
492,,,gone
493,,,service
494,,,ran
495,,,director
496,,,mainly
497,,,patient
498,,,meanwhile
499,,,record
500,,,available
501,,,story
502,,,bystander
503,,,make
504,,,test
505,,,use
506,,,redressal
507,,,policy
508,,,privacy
509,,,economic
510,,,sri
511,,,excise
512,,,cup
513,,,election
514,,,date
515,,,schedule
516,,,rukh
517,,,reserved
518,,,reprint
519,,,syndication
